vorname,anzahl
Mads,1
Mae,1
Mael,2
Maen,1
Maeve,1
Mafalda,1
Mafhiza,1
Mafoudia,1
Magda,1
Magdalena,3
Magelone,1
Magid,1
Magnus,2
Mahbub,1
Mahdi,1
Maher,1
Mahid,1
Mahilini,1
Mahir,1
Mahmoud,2
Mahmut,1
Maia,4
Maija,1
Maik,2
Maike,1
Maiko,1
Maila,8
Maileen,1
Maili-Liara,1
Mailin,1
Maily,1
Maisie,1
Maissaa,1
Maja,20
Majduldeen,1
Makan,1
Makka,1
Maksim,2
Malaika,3
Malak,3
Malea,2
Malek,1
Malena,1
Mali,1
Malia,7
Malik,14
Malika,4
Malin,7
Malina,3
Maliyah,1
Malkia,1
Malou,9
Malte,12
Mamed,1
Manfred,4
Mannat,1
Manraj,1
Mantegaftot,1
Manuel,5
Mara,8
Maral,1
Marc,7
Marcel,2
Marcelino,1
Marcello,1
Marco,7
Marek,1
Maren,1
Margareta,2
Margarete,4
Margaretha,1
Margarethe,3
Margot,1
Margret,1
Margrit,1
Mari,2
Maria,68
Maria-Isadora,1
Mariam,4
Marian,1
Marianne,2
Maribel,1
Maribelle,1
Marie,125
Marie-Sophie,1
Mariel,1
Mariella,5
Marielle,1
Maries,1
Marietta,1
Mariette,1
Marilu,1
Marina,3
Mario,2
Marion,1
Marios,1
Marisa,1
Marita,2
Marius,1
Mark,3
Markella,1
Markus,5
Marla,4
Marlee,1
Marleen,4
Marlen,1
Marlene,24
Marley,1
Marlies,1
Marlin,1
Marlis,1
Marlo,3
Marlon,8
Marta,3
Marten,1
Martha,5
Martin,8
Martin-Nikolay,1
Martina,2
Maru,1
Marvin,2
Marwa,1
Maryam,7
Maryrose,1
Masal,1
Matea,1
Mateen,1
Matei,1
Matej,1
Mateo,13
Mateusz,1
Matheo,6
Mathes,1
Mathias,5
Mathilda,18
Mathilde,3
Mathys,1
Math̩o,1
Matilda,13
Matin,1
Mato,1
Mats,28
Mats-Leo,1
Matt,1
Mattea,2
Matteo,23
Matthea,1
Mattheo,2
Matthias,9
Matthijs,1
Matthis,3
Matti,5
Mattia,3
Mattis,10
Matt̩o,1
Maurice,4
Mavie,1
Mavin,1
Mavion,1
Max,22
Maxim,19
Maxima,2
Maxime,1
Maximilian,68
Maximus,2
Maxwell,1
Maya,11
Mayan,1
Mayar,1
